gene	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	predicted_gene_name	GO_terms	KEGG_KO	BiGG_Reactions	Annotation_tax_scope	Matching_Ogs	best_OG|evalue|score	COG_functional_categories	eggNOG_HMM_model_annotation
augustus_masked-NW_019167827.1-processed-gene-27.12-mRNA-1	4081.Solyc03g007760.2.1	1,00E-80	261.5					virNOG[6]	1BH9K@strNOG,1DPTK@virNOG,COG0464@NOG,KOG0737@euNOG	1DPTK|1.7e-84|285.4	O	AAA-type ATPase family protein
augustus_masked-NW_019167827.1-processed-gene-27.10-mRNA-1	3694.POPTR_0001s09960.1	9.3e-70	223.7					virNOG[6]	0J03F@euNOG,11AYF@NOG,1BRGE@strNOG,1E3AW@virNOG	1E3AW|7.6e-81|271.8	S	LURP-one-related 17-like
augustus_masked-NW_019167827.1-processed-gene-28.7-mRNA-1	3694.POPTR_0003s13590.1	1.6e-279	918.8		GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944			virNOG[6]	0IGYX@euNOG,0YDXU@NOG,1BBTB@strNOG,1DPS0@virNOG	1DPS0|2.4e-269|895.6	T	inactive receptor kinase
augustus_masked-NW_019167827.1-processed-gene-28.2-mRNA-1	3694.POPTR_0001s10180.1	8.2e-245	805.0	SIP7	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009507,GO:0009536,GO:0016020,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0071944			virNOG[6]	0II2N@euNOG,0YF2F@NOG,1BDGT@strNOG,1DRE8@virNOG	1DRE8|3.1e-223|744.3	S	Inherit from euNOG: intracellular protein transport protein
augustus_masked-NW_019167827.1-processed-gene-28.0-mRNA-1	3694.POPTR_0001s10080.1	8.1e-287	941.2					virNOG[6]	0XR8V@NOG,1BI4E@strNOG,1DZE9@virNOG,KOG4711@euNOG	1DZE9|9.6e-289|959.5	S	Fusaric acid resistance protein family
augustus_masked-NW_019167827.1-processed-gene-28.6-mRNA-1	3694.POPTR_0001s10270.1	4.3e-176	573.4			K01792		virNOG[6]	1BQ0W@strNOG,1E1V3@virNOG,COG0676@NOG,KOG1594@euNOG	1E1V3|9.5e-183|607.0	G	Aldose 1-epimerase
augustus_masked-NW_019167827.1-processed-gene-28.4-mRNA-1	29760.VIT_02s0025g00880.t01	2.3e-92	300.2					virNOG[6]	0IH2K@euNOG,0YD15@NOG,1BHB3@strNOG,1DV76@virNOG	1DV76|6e-88|296.8	S	BTB POZ domain-containing protein
augustus_masked-NW_019167827.1-processed-gene-28.5-mRNA-1	3694.POPTR_0001s10200.1	4.1e-73	234.3		GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944			virNOG[6]	0IZU5@euNOG,11YT8@NOG,1BGWX@strNOG,1DUTK@virNOG	1DUTK|2.2e-71|241.4	S	Protein of unknown function (DUF1191)
augustus_masked-NW_019167827.1-processed-gene-28.8-mRNA-1	29760.VIT_02s0025g01050.t01	1.3e-85	276.4	UBC	GO:0003674,GO:0003824,GO:0004842,GO:0006464,GO:0008150,GO:0008152,GO:0009987,GO:0016567,GO:0016874,GO:0016879,GO:0016881,GO:0019538,GO:0019787,GO:0032446,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0070647,GO:0071704	K06689		virNOG[6]	1BGHV@strNOG,1DPV3@virNOG,COG5078@NOG,KOG0417@euNOG	1DPV3|4e-101|340.7	O	ubiquitin-conjugating enzyme
augustus_masked-NW_019167827.1-processed-gene-28.3-mRNA-1	29760.VIT_02s0025g00850.t01	1.6e-67	216.1					virNOG[6]	0IXKC@euNOG,127FN@NOG,1BRTW@strNOG,1E3NX@virNOG	1E3NX|2.5e-63|212.8	S	lactoylglutathione lyase family protein glyoxalase I family protein
augustus_masked-NW_019167827.1-processed-gene-28.12-mRNA-1	3694.POPTR_0003s13470.1	0.0	1365.2		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005770,GO:0006605,GO:0006623,GO:0006810,GO:0006885,GO:0006886,GO:0007034,GO:0008104,GO:0008150,GO:0009987,GO:0015031,GO:0016020,GO:0016482,GO:0033036,GO:0033365,GO:0034613,GO:0042592,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044763,GO:0044765,GO:0045184,GO:0046907,GO:0048878,GO:0050801,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055067,GO:0055080,GO:0065007,GO:0065008,GO:0070727,GO:0071702,GO:0072594,GO:0072665,GO:0072666			virNOG[6]	1BFV7@strNOG,1DTSX@virNOG,COG0475@NOG,KOG1650@euNOG	1DTSX|0.0|1442.1	P	Cation H( ) antiporter
augustus_masked-NW_019167827.1-processed-gene-28.1-mRNA-1	3694.POPTR_0003s13400.1	0.0	1087.5					virNOG[6]	0IE6B@euNOG,0YI5X@NOG,1BC9U@strNOG,1DQ7X@virNOG	1DQ7X|1.3e-244|815.8	S	NA
augustus_masked-NW_019167827.1-processed-gene-28.13-mRNA-1	3847.GLYMA08G02410.1	1.2e-304	1001.9	GND	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005829,GO:0005911,GO:0006950,GO:0006970,GO:0008150,GO:0009266,GO:0009409,GO:0009414,GO:0009415,GO:0009506,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0009628,GO:0009651,GO:0009719,GO:0009725,GO:0009737,GO:0009743,GO:0009744,GO:0009746,GO:0009749,GO:0009750,GO:0010033,GO:0010035,GO:0010038,GO:0016020,GO:0030054,GO:0033993,GO:0034284,GO:0034285,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0046686,GO:0050896,GO:0055044,GO:0097305,GO:1901700	K00033	GND	virNOG[6]	1BFB7@strNOG,1DT9P@virNOG,COG0362@NOG,KOG2653@euNOG	1DT9P|2.9e-292|970.2	G	Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH (By similarity)
augustus_masked-NW_019167827.1-processed-gene-28.10-mRNA-1	29760.VIT_02s0025g00780.t01	2,00E-140	459.3		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005770,GO:0006885,GO:0008150,GO:0016020,GO:0042592,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0048878,GO:0050801,GO:0055067,GO:0055080,GO:0065007,GO:0065008			virNOG[6]	1BFV7@strNOG,1DTSX@virNOG,COG0475@NOG,KOG1650@euNOG	1DTSX|1e-133|448.3	P	Cation H( ) antiporter
augustus_masked-NW_019167827.1-processed-gene-28.11-mRNA-1	3694.POPTR_0001s10170.1	5.5e-150	491.0		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005770,GO:0006885,GO:0008150,GO:0016020,GO:0042592,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0048878,GO:0050801,GO:0055067,GO:0055080,GO:0065007,GO:0065008			virNOG[6]	1BFV7@strNOG,1DTSX@virNOG,COG0475@NOG,KOG1650@euNOG	1DTSX|1.8e-160|536.8	P	Cation H( ) antiporter
augustus_masked-NW_019167827.1-processed-gene-28.14-mRNA-1	3694.POPTR_0001s10240.1	2,00E-80	256.7					virNOG[6]	1BZUF@strNOG,1ECJ8@virNOG,COG1132@NOG,KOG0054@euNOG	1ECJ8|1.5e-79|268.9	Q	ABC transporter C family member 10-like
augustus_masked-NW_019167827.1-processed-gene-28.15-mRNA-1	3694.POPTR_0001s10240.1	1.8e-56	178.3					virNOG[6]	1BZUF@strNOG,1ECJ8@virNOG,COG1132@NOG,KOG0054@euNOG	1ECJ8|1.8e-58|199.0	Q	ABC transporter C family member 10-like
augustus_masked-NW_019167827.1-processed-gene-28.9-mRNA-1	3694.POPTR_0001s10130.1	5.5e-33	101.8					virNOG[6]	0JB8B@euNOG,0Z0E4@NOG,1BSUQ@strNOG,1E4PX@virNOG	1E4PX|6.4e-29|101.8	U	Disease resistance response protein
augustus_masked-NW_019167827.1-processed-gene-29.4-mRNA-1	3694.POPTR_0003s13720.1	2.9e-287	945.9		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0005856,GO:0008150,GO:0009507,GO:0009536,GO:0016020,GO:0031090,GO:0032386,GO:0032879,GO:0032880,GO:0033157,GO:0042306,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044422,GO:0044424,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0046822,GO:0050789,GO:0050794,GO:0051049,GO:0051223,GO:0060341,GO:0065007,GO:0070201,GO:1900180			virNOG[6]	0IK0C@euNOG,11UGN@NOG,1BMZX@strNOG,1DZUB@virNOG	1DZUB|0.0|2124.0	S	Inherit from NOG: keratin, type II cytoskeletal
augustus_masked-NW_019167827.1-processed-gene-29.5-mRNA-1	29760.VIT_02s0025g01170.t01	1.4e-300	988.5		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0005856,GO:0008150,GO:0009507,GO:0009536,GO:0016020,GO:0031090,GO:0032386,GO:0032879,GO:0032880,GO:0033157,GO:0042306,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044422,GO:0044424,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0046822,GO:0050789,GO:0050794,GO:0051049,GO:0051223,GO:0060341,GO:0065007,GO:0070201,GO:1900180			virNOG[6]	0IK0C@euNOG,11UGN@NOG,1BMZX@strNOG,1DZUB@virNOG	1DZUB|0.0|1037.7	S	Inherit from NOG: keratin, type II cytoskeletal
augustus_masked-NW_019167827.1-processed-gene-29.3-mRNA-1	3694.POPTR_0003s13710.1	7.2e-96	311.5		GO:0008150,GO:0010035,GO:0010038,GO:0042221,GO:0046686,GO:0050896			virNOG[6]	0JAU4@euNOG,0ZQSM@NOG,1BSF6@strNOG,1E4A7@virNOG	1E4A7|4.5e-143|479.3	S	NA
augustus_masked-NW_019167827.1-processed-gene-29.2-mRNA-1	29760.VIT_02s0025g01160.t01	0.0	1436.7			K12869		virNOG[6]	0XQJF@NOG,1BIBG@strNOG,1DRUG@virNOG,KOG1915@euNOG	1DRUG|0.0|1399.6	A	Crooked neck protein
augustus_masked-NW_019167827.1-processed-gene-29.7-mRNA-1	3694.POPTR_0003s13760.1	9.9e-220	722.3					virNOG[6]	0IFB9@euNOG,0XSGA@NOG,1BGHE@strNOG,1DS43@virNOG	1DS43|3.8e-198|660.0	S	Pfam:DUF231
augustus_masked-NW_019167827.1-processed-gene-29.9-mRNA-1	3694.POPTR_0003s13800.1	3.3e-212	696.8	OSI_36677	GO:0003674,GO:0003824,GO:0006805,GO:0006950,GO:0006970,GO:0008150,GO:0008152,GO:0008194,GO:0009056,GO:0009410,GO:0009628,GO:0009636,GO:0009651,GO:0009987,GO:0016740,GO:0016757,GO:0016758,GO:0035251,GO:0042178,GO:0042221,GO:0044237,GO:0044248,GO:0044699,GO:0044763,GO:0046527,GO:0050896,GO:0051716,GO:0070887,GO:0071466,GO:0080043	K08237		virNOG[6]	1BM0Q@strNOG,1DYWB@virNOG,COG1819@NOG,KOG1192@euNOG	1DYWB|4.7e-195|649.9	C, G	Hydroquinone
augustus_masked-NW_019167827.1-processed-gene-29.10-mRNA-1	3694.POPTR_0003s13800.1	3.1e-214	703.5	OSI_36677	GO:0003674,GO:0003824,GO:0006805,GO:0006950,GO:0006970,GO:0008150,GO:0008152,GO:0008194,GO:0009056,GO:0009410,GO:0009628,GO:0009636,GO:0009651,GO:0009987,GO:0016740,GO:0016757,GO:0016758,GO:0035251,GO:0042178,GO:0042221,GO:0044237,GO:0044248,GO:0044699,GO:0044763,GO:0046527,GO:0050896,GO:0051716,GO:0070887,GO:0071466,GO:0080043	K08237		virNOG[6]	1BM0Q@strNOG,1DYWB@virNOG,COG1819@NOG,KOG1192@euNOG	1DYWB|8.7e-196|652.3	C, G	Hydroquinone
augustus_masked-NW_019167827.1-processed-gene-29.0-mRNA-1	3694.POPTR_0003s13610.1	1.7e-91	297.3		GO:0000003,GO:0001071,GO:0003006,GO:0003674,GO:0003700,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006355,GO:0006605,GO:0006606,GO:0006810,GO:0006886,GO:0006913,GO:0007275,GO:0008104,GO:0008150,GO:0009790,GO:0009791,GO:0009793,GO:0009889,GO:0009987,GO:0010154,GO:0010468,GO:0010556,GO:0015031,GO:0016482,GO:0017038,GO:0019219,GO:0019222,GO:0022414,GO:0022622,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0033036,GO:0033365,GO:0034504,GO:0034613,GO:0042991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0044699,GO:0044707,GO:0044744,GO:0044763,GO:0044765,GO:0044767,GO:0045184,GO:0046907,GO:0048316,GO:0048364,GO:0048366,GO:0048367,GO:0048513,GO:0048608,GO:0048731,GO:0048825,GO:0048827,GO:0048856,GO:0050789,GO:0050794,GO:0051169,GO:0051170,GO:0051171,GO:0051179,GO:0051234,GO:0051252,GO:0051641,GO:0051649,GO:0060255,GO:0061458,GO:0065007,GO:0070727,GO:0071702,GO:0080090,GO:2000112,GO:2001141			virNOG[6]	0IXMI@euNOG,0YM3E@NOG,1BSDM@strNOG,1E48N@virNOG	1E48N|6.4e-100|336.1	K	Transcription factor
augustus_masked-NW_019167827.1-processed-gene-29.8-mRNA-1	3694.POPTR_0001s10440.1	1.2e-60	193.6					virNOG[6]	0J700@euNOG,0ZGZJ@NOG,1BUB5@strNOG,1E67T@virNOG	1E67T|9.4e-66|222.9	S	NA
augustus_masked-NW_019167827.1-processed-gene-29.6-mRNA-1	3694.POPTR_0001s10380.1	7,00E-20	61.4					virNOG[6]	0J8PT@euNOG,113Y6@NOG,1BWHT@strNOG,1E8QR@virNOG	1E8QR|1.4e-19|71.9	S	NA
augustus_masked-NW_019167827.1-processed-gene-29.13-mRNA-1	3694.POPTR_0001s10330.1	0.0	1302.4		GO:0000151,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0031461,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0044424,GO:0044464,GO:0080008	K16240		virNOG[6]	0XS0B@NOG,1BK75@strNOG,1DVH1@virNOG,KOG1033@euNOG	1DVH1|0.0|1183.3	J	Protein SUPPRESSOR OF PHYA-105
augustus_masked-NW_019167827.1-processed-gene-29.14-mRNA-1	3694.POPTR_0002s16950.1	2.5e-68	220.9		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0016020,GO:0019866,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464	K14684		virNOG[6]	0ZRF1@NOG,1BHGR@strNOG,1DVCJ@virNOG,KOG0752@euNOG	1DVCJ|1.6e-56|192.8	C	mitochondrial substrate carrier family protein
augustus_masked-NW_019167827.1-processed-gene-29.12-mRNA-1	3694.POPTR_0003s13650.1	2.8e-40	128.2					virNOG[6]	0J2JK@euNOG,0ZCA0@NOG,1BV6X@strNOG,1E768@virNOG	1E768|8.7e-35|121.5	S	NA
augustus_masked-NW_019167827.1-processed-gene-29.11-mRNA-1	3847.GLYMA08G02480.1	2.4e-27	83.6					virNOG[6]	0JHTV@euNOG,11AK3@NOG,1BW8B@strNOG,1E8D0@virNOG	1E8D0|1.7e-28|99.3	S	Protein of unknown function (DUF1070)
augustus_masked-NW_019167827.1-processed-gene-30.2-mRNA-1	3694.POPTR_0003s13940.1	0.0	1221.6	GH9C2	GO:0005575,GO:0005576			virNOG[6]	0IDXW@euNOG,0XPC9@NOG,1BHNI@strNOG,1DVJ0@virNOG	1DVJ0|0.0|1112.9	G	Endoglucanase
augustus_masked-NW_019167827.1-processed-gene-30.1-mRNA-1	29760.VIT_02s0025g01350.t01	1.7e-269	884.7			K02684		virNOG[6]	1BHT7@strNOG,1DVPK@virNOG,COG1467@NOG,KOG2851@euNOG	1DVPK|2.5e-246|818.6	L	DNA primase
augustus_masked-NW_019167827.1-processed-gene-30.0-mRNA-1	3694.POPTR_0003s13820.1	3.6e-21	66.1					virNOG[6]	1BBQ2@strNOG,1DXKH@virNOG,COG0451@NOG,KOG1502@euNOG	1DXKH|3.6e-18|66.7	V	NAD dependent epimerase dehydratase family protein
augustus_masked-NW_019167827.1-processed-gene-30.11-mRNA-1	3694.POPTR_0003s13950.1	0.0	1309.2		GO:0001676,GO:0003674,GO:0003824,GO:0004467,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005794,GO:0005886,GO:0006082,GO:0006629,GO:0006631,GO:0008150,GO:0008152,GO:0009987,GO:0015645,GO:0016020,GO:0016874,GO:0016877,GO:0019752,GO:0032787,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044255,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0071704,GO:0071944	K01897	CACOAL,FACOAL160,FACOAL180_1,FACOAL18111Z,FACOAL181_1,FACOAL1821,FACOAL1831,FACOAL1832,PACOAL	virNOG[6]	1BGMI@strNOG,1DQZ5@virNOG,COG1022@NOG,KOG1256@euNOG	1DQZ5|0.0|1141.0	I	acyl-CoA synthetase
augustus_masked-NW_019167827.1-processed-gene-30.6-mRNA-1	3694.POPTR_0003s13890.1	8.4e-248	813.2					virNOG[6]	0IEVG@euNOG,1BEW0@strNOG,1DSTK@virNOG,COG5434@NOG	1DSTK|3.1e-243|808.2	M	Polygalacturonase
augustus_masked-NW_019167827.1-processed-gene-30.14-mRNA-1	3694.POPTR_0001s10610.1	1.9e-118	384.6			K19041		virNOG[6]	121N2@NOG,1BR20@strNOG,1E2W4@virNOG,KOG0800@euNOG	1E2W4|4.9e-133|444.8	O	finger protein
augustus_masked-NW_019167827.1-processed-gene-30.12-mRNA-1	4081.Solyc08g082310.2.1	2.1e-77	249.3			K19041		virNOG[6]	121N2@NOG,1BR20@strNOG,1E2W4@virNOG,KOG0800@euNOG	1E2W4|1.1e-95|321.8	O	finger protein
augustus_masked-NW_019167827.1-processed-gene-30.3-mRNA-1	3694.POPTR_0003s13840.1	3.8e-142	463.9	WRKY41	GO:0000302,GO:0001071,GO:0002376,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006355,GO:0006950,GO:0006952,GO:0006955,GO:0006979,GO:0007275,GO:0007568,GO:0008150,GO:0009507,GO:0009536,GO:0009607,GO:0009617,GO:0009719,GO:0009751,GO:0009814,GO:0009816,GO:0009889,GO:0009891,GO:0009893,GO:0010033,GO:0010035,GO:0010150,GO:0010193,GO:0010200,GO:0010243,GO:0010260,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0014070,GO:0019219,GO:0019222,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031347,GO:0032501,GO:0032502,GO:0042221,GO:0042542,GO:0042742,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044707,GO:0044767,GO:0045087,GO:0045893,GO:0045935,GO:0048366,GO:0048367,GO:0048513,GO:0048518,GO:0048522,GO:0048583,GO:0048731,GO:0048827,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051704,GO:0051707,GO:0060255,GO:0065007,GO:0080090,GO:0080134,GO:0097159,GO:1901363,GO:1901698,GO:1901700,GO:2000112,GO:2001141			virNOG[6]	0IM0H@euNOG,0YZU1@NOG,1BNT5@strNOG,1E0M7@virNOG	1E0M7|2.2e-120|403.2	K	transcription factor
augustus_masked-NW_019167827.1-processed-gene-30.13-mRNA-1	3694.POPTR_0001s10610.1	1.6e-61	197.4			K19041		virNOG[6]	121N2@NOG,1BR20@strNOG,1E2W4@virNOG,KOG0800@euNOG	1E2W4|9.9e-75|252.9	O	finger protein
augustus_masked-NW_019167827.1-processed-gene-30.8-mRNA-1	3694.POPTR_0003s13910.1	1.7e-118	385.4		GO:0001071,GO:0003674,GO:0003700,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0008150,GO:0009719,GO:0009889,GO:0010033,GO:0010200,GO:0010243,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:1901698,GO:1901700,GO:2000112,GO:2001141			virNOG[6]	0IW77@euNOG,0YMKN@NOG,1BP9N@strNOG,1E13W@virNOG	1E13W|6.6e-111|371.6	K	Transcription factor
augustus_masked-NW_019167827.1-processed-gene-30.4-mRNA-1	3694.POPTR_0003s13870.1	1.8e-45	142.4					virNOG[6]	0IWJC@euNOG,117F7@NOG,1BRCB@strNOG,1E36F@virNOG	1E36F|5.1e-52|177.6	T	STYKc
augustus_masked-NW_019167827.1-processed-gene-30.7-mRNA-1	3694.POPTR_0003s13900.1	1.1e-116	378.7			K14496		virNOG[6]	0IIK9@euNOG,11HU5@NOG,1BCZ1@strNOG,1DQWK@virNOG	1DQWK|2.6e-111|370.4	S	abscisic acid receptor
augustus_masked-NW_019167827.1-processed-gene-30.9-mRNA-1	3694.POPTR_0001s10570.1	8.2e-65	208.7			K14497		virNOG[6]	1BK1J@strNOG,1DXYQ@virNOG,COG0631@NOG,KOG0698@euNOG	1DXYQ|1.2e-75|255.9	T	phosphatase 2C
augustus_masked-NW_019167827.1-processed-gene-30.10-mRNA-1	3694.POPTR_0001s10570.1	2.7e-20	63.3			K14497		virNOG[6]	1BK1J@strNOG,1DXYQ@virNOG,COG0631@NOG,KOG0698@euNOG	1DXYQ|1.8e-20|74.4	T	phosphatase 2C
augustus_masked-NW_019167827.1-processed-gene-30.5-mRNA-1	3694.POPTR_0003s13870.1	8.6e-28	83.9					virNOG[6]	0IWJC@euNOG,117F7@NOG,1BRCB@strNOG,1E36F@virNOG	1E36F|2.1e-23|83.7	T	STYKc
augustus_masked-NW_019167827.1-processed-gene-31.0-mRNA-1	3694.POPTR_0003s13940.1	9.2e-275	903.5	GH9C2	GO:0005575,GO:0005576			virNOG[6]	0IDXW@euNOG,0XPC9@NOG,1BHNI@strNOG,1DVJ0@virNOG	1DVJ0|7.9e-251|834.5	G	Endoglucanase
augustus_masked-NW_019167827.1-processed-gene-31.1-mRNA-1	3694.POPTR_0003s13980.1	3.5e-200	656.3		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	K11979		virNOG[6]	0XSV6@NOG,1BEVH@strNOG,1DPSX@virNOG,KOG2752@euNOG	1DPSX|3e-198|660.0	S	E3 ubiquitin-protein ligase
augustus_masked-NW_019167827.1-processed-gene-31.4-mRNA-1	3702.AT4G23895.3	2.5e-199	653.1		GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005758,GO:0006950,GO:0006979,GO:0008150,GO:0008270,GO:0009507,GO:0009534,GO:0009536,GO:0009543,GO:0009579,GO:0016020,GO:0019866,GO:0031090,GO:0031966,GO:0031967,GO:0031970,GO:0031974,GO:0031975,GO:0031976,GO:0031977,GO:0031978,GO:0031984,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044429,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0046872,GO:0046914,GO:0050896,GO:0050897	K00940		virNOG[6]	0BYCN@braNOG,1BM2N@strNOG,1DYXW@virNOG,COG0105@NOG,KOG0888@euNOG	1DYXW|1.5e-121|405.3	F	Nucleoside diphosphate kinase
augustus_masked-NW_019167827.1-processed-gene-31.3-mRNA-1	3847.GLYMA11G02000.2	2,00E-32	101.7		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464			virNOG[6]	0J752@euNOG,0ZA27@NOG,1BV6P@strNOG,1E760@virNOG	1E760|2.8e-32|111.9	S	NA
augustus_masked-NW_019167827.1-processed-gene-31.2-mRNA-1	3694.POPTR_0001s10630.1	2.5e-23	71.2					virNOG[6]	0J2Y3@euNOG,0Z7NP@NOG,1C59N@strNOG,1E71X@virNOG	1E71X|1.4e-23|84.1	S	NA
augustus_masked-NW_019167827.1-processed-gene-31.6-mRNA-1	3694.POPTR_0003s13950.1	0.0	1276.4		GO:0001676,GO:0003674,GO:0003824,GO:0004467,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005794,GO:0005886,GO:0006082,GO:0006629,GO:0006631,GO:0008150,GO:0008152,GO:0009987,GO:0015645,GO:0016020,GO:0016874,GO:0016877,GO:0019752,GO:0032787,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044255,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0071704,GO:0071944	K01897	CACOAL,FACOAL160,FACOAL180_1,FACOAL18111Z,FACOAL181_1,FACOAL1821,FACOAL1831,FACOAL1832,PACOAL	virNOG[6]	1BGMI@strNOG,1DQZ5@virNOG,COG1022@NOG,KOG1256@euNOG	1DQZ5|0.0|1116.1	I	acyl-CoA synthetase
augustus_masked-NW_019167827.1-processed-gene-31.9-mRNA-1	3694.POPTR_0001s10610.1	3.7e-117	380.3			K19041		virNOG[6]	121N2@NOG,1BR20@strNOG,1E2W4@virNOG,KOG0800@euNOG	1E2W4|6.6e-132|441.1	O	finger protein
augustus_masked-NW_019167827.1-processed-gene-31.7-mRNA-1	4081.Solyc08g082310.2.1	7.3e-77	247.6			K19041		virNOG[6]	121N2@NOG,1BR20@strNOG,1E2W4@virNOG,KOG0800@euNOG	1E2W4|6.8e-95|319.2	O	finger protein
augustus_masked-NW_019167827.1-processed-gene-31.5-mRNA-1	3694.POPTR_0001s10570.1	2.8e-120	391.9			K14497		virNOG[6]	1BK1J@strNOG,1DXYQ@virNOG,COG0631@NOG,KOG0698@euNOG	1DXYQ|2.1e-140|469.1	T	phosphatase 2C
augustus_masked-NW_019167827.1-processed-gene-31.8-mRNA-1	4113.PGSC0003DMT400031680	6.5e-29	89.9			K19041		virNOG[6]	121N2@NOG,1BR20@strNOG,1E2W4@virNOG,KOG0800@euNOG	1E2W4|1.6e-33|117.2	O	finger protein
augustus_masked-NW_019167827.1-processed-gene-31.11-mRNA-1	3694.POPTR_0001s10640.1	1.2e-27	86.1					virNOG[6]	0JID2@euNOG,119FD@NOG,1BWH4@strNOG,1E8PT@virNOG	1E8PT|8.5e-31|107.8	S	NA
augustus_masked-NW_019167827.1-processed-gene-32.4-mRNA-1	29760.VIT_02s0025g01650.t01	0.0	1439.6					virNOG[6]	0IGP8@euNOG,0Y9SP@NOG,1BHKP@strNOG,1DRCP@virNOG	1DRCP|0.0|1447.7	O	Inherit from NOG: RING
